OrderID,OrderDate,Product,Quantity,UnitPrice,Region,SalesRep,Status
ORD-100969,05/01/2023,Gadget X,2.0,21.14,  West   ,Dana White,Completed
ORD-100763,13-02-2024,Gadget Y,2.0,N/A,,Bob Smith,Pending
ORD-101104,"Apr 16, 2023",Gadget Y,1.0,258.21,West,Charlie Lee ,Pending
ORD-101511,25-11-2023,Doohickey,1.0,$454.43,West ,Charlie Lee ,Completed
ORD-100461,"Aug 10, 2023",Gadget Y,1.0,$234.07,West,Evan Brooks,COMPLETED
ORD-101774,2024-09-16,Widget A,1.0,40.03,East,Evan Brooks,completed
ORD-101624,"Oct 24, 2023",Doohickey,1.0,400.79,north,Dana White,Completed
ORD-100277,2024/04/09,,4.0,358.21,South,Dana White,Completed
ORD-101162,24-06-2023,Gadget Y,2.0,$304.2,South,Charlie Lee,Completed
ORD-100318,"Jun 07, 2023",Sprocket,2.0,69.38,   East  ,Dana White,Completed
ORD-100887,2024-05-14,GADGET X,4.0,247.82,West ,Evan Brooks,  Completed  
ORD-100260,2023-07-05,Sprocket,1.0,$152.52,West ,Bob Smith,Completed
ORD-101879,31-03-2023,GADGET X,0.0,356.22,,Charlie Lee,  completed  
ORD-101301,2023-02-02,Gadget X,3.0,496.9,SOUTH,Dana White,Pending
ORD-101318,21-02-2024,GADGET X,1.0,443.43,South,Alice Khan,Pending
ORD-100955,07/28/2023,Gadget Y,3.0,198.41,north,Charlie Lee ,Cancelled
ORD-100924,10/11/2024,widget a,5.0,$70.49,north,Fiona Grant,
ORD-100066,2023/03/31,Gadget X,1.0,278.27,East,Charlie Lee,Cancelled
ORD-100904,"Sep 09, 2024",Doohickey,2.0,198.49,West ,Bob  Smith,Cancelled
ORD-101733,04/22/2024,Widget B,3.0,,South,Fiona Grant,Completed
ORD-100758,01/06/2024,Widget B,3.0,$248.06, East,  Alice Khan  ,COMPLETED
ORD-100300,09/03/2024,Doohickey,1.0,276.37,North,Evan Brooks,Pending
ORD-101785,30-09-2023,Sprocket,4.0,194.13,South,,Completed
ORD-101631,04/18/2024,Sprocket,1.0,316.73,,Dana White,Completed
ORD-100122,2023-03-06,Thingamajig,1.0,252.42,,alice khan,completed
ORD-101601,"Jan 18, 2023",Widget A,1.0,N/A,,alice khan,Pending
ORD-101832,"Jul 18, 2024",Gadget X,2.0,483.3,  North  ,Alice Khan,Completed
ORD-100175,2023-02-28,Thingamajig,1.0,113.54,SOUTH,Fiona Grant,  Completed  
ORD-100423,2023/09/03,Widget A,,-426.91,East,Dana White,Completed
ORD-101206,"Feb 06, 2023",Widget B,3.0,$37.59,,Dana White,Pending
ORD-101393,05-02-2024,  Sprocket  ,5.0,$352.82,West,Fiona Grant,Completed
ORD-101292,2023-07-16,Gadget Y,1.0,316.41,South,Alice Khan,Completed
ORD-100540,02/24/2023,Doohickey,2.0,283.21,South,Dana White,Cancelled
ORD-100651,"Aug 02, 2024",Widget B,1.0,484.03,South,Bob Smith,Refunded
ORD-101343,"Apr 04, 2023",Doohickey,2.0,$32.54,West ,alice khan,Completed
ORD-100713,05/03/2024,Gadget X,4.0,46.49,,Bob Smith,completed
ORD-100117,2023/11/30,  Widget A  ,4.0,244.85,West ,Bob Smith,  Cancelled  
ORD-100349,"Jan 12, 2024",Gadget X,-1.0,478.89,  West   ,,  Refunded  
ORD-101073,2024-01-16,Gizmo Pro,4.0,252.46,  South  ,,completed
ORD-100238,10/30/2023,Doohickey,1.0,20.99,SOUTH,Dana White,Cancelled
ORD-100371,07-07-2024,Gizmo Pro,2.0,,East,alice khan,Completed
ORD-101079,"Aug 03, 2024",Widget A,2.0,$482.59,South,Alice Khan,Pending
ORD-100341,"Apr 01, 2024",,2.0,169.5,South,Charlie Lee ,Refunded
ORD-100872,2024/01/04,  Thingamajig  ,2.0,201.56,East,  Alice Khan  ,Completed
ORD-100162,10/26/2024,  Sprocket  ,4.0,$66.15,East,Dana White,Completed
ORD-101877,2024-03-27,  Sprocket  ,4.0,N/A,West,Charlie Lee,Refunded
ORD-100778,05/09/2024,Widget B,1.0,-384.27,,Charlie Lee,Completed
ORD-101324,2024-10-13,Thingamajig,2.0,412.51,North,,Completed
ORD-100339,04/17/2023,widget a,,277.23,South,Charlie Lee,  Pending  
ORD-100366,2023/04/17,Gadget X,1.0,305.05,north,Bob  Smith,Completed
ORD-101839,2023/11/03,Widget A,1.0,171.98,SOUTH,Charlie Lee,Completed
ORD-101159,13-10-2024,  Thingamajig  ,2.0,,north,Alice Khan,Pending
ORD-101902,2024-05-30,Gizmo Pro,1.0,332.48,West ,Evan Brooks,Pending
ORD-100317,"Aug 12, 2024",widget a,2.0,N/A,north,  Dana White  ,Refunded
ORD-100781,11/13/2023,Widget A,4.0,$321.0,East,,Pending
ORD-101506,2024/07/15,Thingamajig,5.0,$225.91,,Bob Smith,Pending
ORD-101138,08/29/2024,Gadget Y,1.0,62.47,,  Fiona Grant  ,Completed
ORD-100220,16-08-2023,GADGET X,2.0,436.36,West,Dana White,Completed
ORD-101243,07-12-2024,Gadget X,1.0,38.58, East,,  completed  
ORD-101372,2024-10-04,Thingamajig,3.0,$291.78,,Fiona Grant,Refunded
ORD-100291,"Oct 15, 2023",Widget A,5.0,21.29,South,Alice Khan,
ORD-100023,02/06/2024,Sprocket,4.0,488.11,,Dana White,completed
ORD-101461,08-03-2023,Sprocket,2.0,65.4,South,Fiona Grant,Cancelled
ORD-100190,26-02-2024,Gizmo Pro,3.0,85.7,,Bob Smith,Completed
ORD-101066,2024-06-20,Doohickey,,284.63,East,  Alice Khan  ,Refunded
ORD-101406,2024-07-16,Gadget Y,2.0,,,Bob Smith,Refunded
ORD-100141,10/12/2023,Widget B,-1.0,396.36,SOUTH,alice khan,Completed
ORD-101305,"Feb 19, 2023",Gadget X,1.0,420.21,  north  ,  Evan Brooks  ,Completed
ORD-100612,"Dec 01, 2024",Doohickey,1.0,$159.69,West,Charlie Lee,Completed
ORD-101338,2024/03/20,Gizmo Pro,1.0,,South,  Alice Khan  ,Refunded
ORD-101039,2023/07/06,,1.0,249.63,South,  Evan Brooks  ,Completed
ORD-101535,04-02-2023,Doohickey,3.0,412.48,East,  Alice Khan  ,completed
ORD-101904,2024/01/30,Widget B,3.0,259.16,East,,completed
ORD-100852,11/13/2024,Doohickey,1.0,355.41,South,Alice Khan,Refunded
ORD-100321,"Jul 10, 2023",Widget B,4.0,47.42,West ,Dana White,Completed
ORD-100617,12/14/2023,Thingamajig,1.0,184.85,north,Charlie Lee,Completed
ORD-100444,27-02-2023,  Thingamajig  ,,40.34,East,Alice Khan,Pending
ORD-101234,2024/01/08,widget a,1.0,93.59, East,Dana White,Refunded
ORD-101911,2024-10-21,Gizmo Pro,2.0,138.28,,Dana White,Pending
ORD-101470,2024/08/07,Widget B,2.0,282.65,West,Alice Khan,Completed
ORD-101828,"Dec 14, 2024",,1.0,-71.27,East,Alice Khan,  Completed  
ORD-100034,18-09-2024,  Gizmo Pro  ,-1.0,201.74,East,  Fiona Grant  ,Completed
ORD-100633,2024-08-23,Widget B,1.0,279.58,SOUTH,Fiona Grant,Refunded
ORD-100851,10/31/2024,Doohickey,1.0,247.97,North,Fiona Grant,Completed
ORD-101092,12/12/2023,,3.0,$10.24,South,Alice Khan,Pending
ORD-101179,2024/04/16,,0.0,477.82,South,Charlie Lee ,  Pending  
ORD-100373,30-07-2023,Sprocket,2.0,57.76,,Bob  Smith,Completed
ORD-101800,11/10/2023,Gizmo Pro,1.0,117.26,North,Bob  Smith,
ORD-100584,2024-02-09,  Thingamajig  ,2.0,$233.0,West,Fiona Grant,Completed
ORD-100792,08/21/2024,Gizmo Pro,-1.0,54.57,South,,Completed
ORD-101259,"Mar 10, 2024",Gadget X,2.0,118.68,West,Charlie Lee ,Completed
ORD-100337,2023-08-19,Gadget X,2.0,389.14,North,Evan Brooks,Completed
ORD-101286,2024-04-22,Sprocket,1.0,362.59,north,Dana White,completed
ORD-101863,2024/11/10,  GADGET X  ,1.0,383.3,north,Bob Smith,Pending
ORD-101404,08-10-2024,Gadget X,4.0,384.54,West,Dana White,Completed
ORD-101398,"Feb 20, 2023",GADGET X,2.0,47.11,East,Alice Khan,Completed
ORD-101551,"Nov 17, 2024",,1.0,N/A,North,Fiona Grant,  Completed  
ORD-101134,2024/05/28,  GADGET X  ,3.0,479.05,East,Evan Brooks,completed
ORD-100403,29-11-2024,Doohickey,2.0,489.92,,Alice Khan,completed
ORD-100446,2023-05-20,Widget A,2.0,402.75,West,Dana White,COMPLETED
ORD-100007,"Jan 13, 2024",Widget A,1.0,,north,Bob Smith,Completed
ORD-101743,2024/10/08,Doohickey,2.0,486.32,  North  ,Fiona Grant,
ORD-100808,2024/09/01,Doohickey,3.0,166.56,north,Fiona Grant,completed
ORD-101474,15-10-2024,Widget B,2.0,$239.42,West,Dana White,Refunded
ORD-100399,03/21/2023,Sprocket,2.0,163.16,North,Bob Smith,Pending
ORD-101861,2023-05-11,  Gizmo Pro  ,2.0,223.75,South,Dana White,Refunded
ORD-101119,2024-04-10,Thingamajig,2.0,,South,Evan Brooks,Pending
ORD-101037,05/14/2024,Widget B,1.0,N/A,South,Charlie Lee,Completed
ORD-101849,"Sep 08, 2024",Widget B,1.0,$229.36,  North  ,Bob Smith,Completed
ORD-101351,2024-06-09,widget a,4.0,376.61,West,Evan Brooks,Completed
ORD-101492,2024/10/11,,3.0,N/A,,  Charlie Lee  ,Refunded
ORD-100254,2023-10-11,Widget B,1.0,302.49, East,  Dana White  ,
ORD-100415,2024-04-01,Widget A,2.0,235.2,West,Charlie Lee,  Completed  
ORD-100987,11/26/2023,Gadget Y,1.0,298.58,West,Bob Smith,Completed
ORD-100353,"May 17, 2023",Doohickey,3.0,101.88,,Dana White,Cancelled
ORD-101469,2023/08/11,widget a,1.0,$382.12,north,Bob  Smith,  completed  
ORD-101465,04/19/2024,GADGET X,4.0,,South,Evan Brooks,
ORD-100512,2024-08-09,Widget A,3.0,149.42,South,Fiona Grant,
ORD-100035,05/30/2024,Sprocket,1.0,398.58,North,,  COMPLETED  
ORD-101038,"Nov 08, 2023",Widget A,5.0,46.53,West ,Dana White,
ORD-100405,2023-12-15,Widget A,2.0,478.57,East,Fiona Grant,  Completed  
ORD-100701,"May 16, 2024",Widget A,1.0,160.14,West,,Pending
ORD-101936,09/28/2023,Doohickey,4.0,$423.78,West ,Fiona Grant,Cancelled
ORD-100835,"Jan 08, 2023",Gadget Y,2.0,262.28,South,Dana White,Refunded
ORD-101880,06/30/2023,Doohickey,3.0,471.96,SOUTH,,Completed
ORD-101295,12/03/2024,Thingamajig,2.0,64.58,North,Evan Brooks,COMPLETED
ORD-100084,04-02-2024,widget a,3.0,$405.12,North,Charlie Lee ,Completed
ORD-101588,2024/06/05,Sprocket,2.0,$27.43,West,Charlie Lee ,Pending
ORD-100813,2023-05-24,Gizmo Pro,1.0,$487.29,  SOUTH  ,Evan Brooks,completed
ORD-101364,03/14/2024,Gadget Y,1.0,219.95,North,Bob Smith,Completed
ORD-100970,2024/04/30,Sprocket,1.0,$336.72,   East  ,Bob  Smith,
ORD-100893,"May 19, 2024",Gizmo Pro,1.0,102.06,North,Charlie Lee ,Pending
ORD-100308,"Nov 07, 2024",Gadget X,2.0,180.95,West ,Fiona Grant,Completed
ORD-100506,"Apr 05, 2024",Sprocket,3.0,150.94,North,Fiona Grant,completed
ORD-100105,04/25/2023,Widget B,2.0,438.12,East,Bob Smith,Refunded
ORD-101852,02/24/2023,Gadget Y,5.0,78.86,,  Alice Khan  ,COMPLETED
ORD-100817,08-01-2024,Sprocket,2.0,429.22,South,Dana White,
ORD-101001,2023/09/15,Widget B,2.0,115.34,   East  ,Dana White,COMPLETED
ORD-101571,2023-11-20,widget a,4.0,$63.56,north,Fiona Grant,Pending
ORD-100829,28-06-2024,Thingamajig,2.0,427.47,North,Alice Khan,Pending
ORD-101225,2024/06/16,Widget A,0.0,106.67,north,Charlie Lee,COMPLETED
ORD-101558,2024/03/24,Sprocket,1.0,379.1,East,Bob  Smith,completed
ORD-101300,04-10-2024,Widget B,2.0,83.73,West,Bob Smith,Completed
ORD-100971,"Aug 02, 2024",Gizmo Pro,2.0,$138.87,   East  ,,Pending
ORD-101275,2023-07-13,Widget B,1.0,402.21,North,Bob  Smith,  Completed  
ORD-100295,2023-01-17,Gizmo Pro,2.0,172.17, East,Evan Brooks,  Completed  
ORD-101180,04/06/2023,Widget A,1.0,46.87,West ,Bob Smith,  COMPLETED  
ORD-100665,2023-12-05,Widget A,,470.61,East,Charlie Lee ,Completed
ORD-101765,12-06-2024,Gadget Y,,260.06,West,Bob  Smith,Completed
ORD-100916,06/26/2024,Thingamajig,2.0,480.79,north,Alice Khan,Pending
ORD-100235,"Nov 03, 2024",Gadget X,4.0,21.64,West ,Dana White,Completed
ORD-100995,11-09-2024,Sprocket,1.0,473.48,North,Evan Brooks,Completed
ORD-100725,2024-05-16,,1.0,351.73, East,Charlie Lee,Completed
ORD-100430,"Feb 15, 2024",Gizmo Pro,1.0,107.56,SOUTH,Bob Smith,Completed
ORD-101462,2023/12/22,  GADGET X  ,2.0,403.33,West,Alice Khan,Completed
ORD-100264,2024-07-29,Widget A,2.0,133.84,South,Bob Smith,Completed
ORD-101766,2023-05-12,  Gadget X  ,3.0,467.11,South,Evan Brooks,COMPLETED
ORD-101697,16-01-2023,Sprocket,1.0,115.16,,  Charlie Lee  ,Completed
ORD-100656,2023-04-04,Widget A,1.0,,South,Charlie Lee,completed
ORD-100052,"Jul 11, 2023",Doohickey,2.0,332.1,,Alice Khan,Pending
ORD-100400,08/07/2023,Gadget X,1.0,309.96,East,  Alice Khan  ,  Completed  
ORD-101707,2023-12-29,Doohickey,1.0,$143.83,South,alice khan,  Completed  
ORD-101646,01/10/2023,Widget A,3.0,448.16,West,Bob Smith,  COMPLETED  
ORD-100946,07-06-2023,Gadget Y,2.0,261.89,West ,Bob Smith,Pending
ORD-101443,2024-09-25,Sprocket,3.0,91.76,  North  ,Bob  Smith,Completed
ORD-100865,2024-08-14,Sprocket,2.0,438.72,South,Bob Smith,Refunded
ORD-100167,03/09/2024,widget a,0.0,130.17,North,Dana White,Completed
ORD-101658,"Oct 20, 2024",Widget A,2.0,22.54,South,  Evan Brooks  ,Completed
ORD-100439,09-10-2024,Widget A,1.0,$105.09,  West   ,  Alice Khan  ,Completed
ORD-100650,2023-01-31,Gadget Y,,178.96,  North  ,Evan Brooks,Completed
ORD-100372,2024/09/24,Sprocket,1.0,78.88,West ,Dana White,  Completed  
ORD-101157,10/22/2024,Sprocket,1.0,230.46,,Bob  Smith,  Completed  
ORD-101419,20-09-2023,Widget B,1.0,-202.9,East,Bob  Smith,Cancelled
ORD-100760,"Sep 06, 2023",Widget B,4.0,344.23,SOUTH,Bob Smith,Cancelled
ORD-100494,2023/03/22,Widget B,2.0,$393.09,SOUTH,Evan Brooks,Completed
ORD-101675,27-12-2023,Sprocket,4.0,$281.56, East,Dana White,  Completed  
ORD-101748,04/20/2024,Gadget X,3.0,76.12,West,Evan Brooks,Completed
ORD-101778,2023/04/27,Gadget Y,1.0,$309.74,West ,Fiona Grant,Pending
ORD-101939,2024-09-25,Widget A,1.0,$326.15,  North  ,Evan Brooks,Pending
ORD-100925,"Jun 28, 2024",Doohickey,2.0,51.13,,Charlie Lee,Completed
ORD-101545,2023-05-01,Doohickey,2.0,217.52,North,,Completed
ORD-100078,"Dec 10, 2024",Widget B,,341.94,north,alice khan,Completed
ORD-101836,2023-05-20,Sprocket,5.0,232.0,North,Bob  Smith,Completed
ORD-101654,11-03-2023,widget a,5.0,$58.48,  SOUTH  ,Evan Brooks,Completed
ORD-100772,"Nov 15, 2023",Gadget X,1.0,391.36, East,Charlie Lee,Pending
ORD-101269,"Oct 02, 2024",Widget A,1.0,154.07,South,Charlie Lee ,Completed
,,,,,,,
ORD-101485,2024-05-21,Sprocket,1.0,494.47,,Evan Brooks,Completed
ORD-100109,"Sep 02, 2023",Widget A,1.0,241.85,North,Evan Brooks,COMPLETED
ORD-101763,2023/12/16,Widget B,1.0,172.82,West ,Bob  Smith,  Cancelled  
ORD-101822,2023-09-06,  Widget A  ,1.0,267.87,North,Fiona Grant,Completed
ORD-101090,14-08-2023,Gadget X,2.0,278.31,north,  Dana White  ,completed
ORD-100087,10/11/2023,  Gadget X  ,1.0,$70.68, East,Charlie Lee,Completed
ORD-100577,2023-01-28,Widget B,1.0,339.43,north,Evan Brooks,COMPLETED
ORD-100315,05/05/2024,Gizmo Pro,2.0,353.37,north,Fiona Grant,completed
ORD-101078,"Jul 04, 2024",,1.0,,north,Alice Khan,COMPLETED
ORD-101097,25-10-2024,Widget A,3.0,10.52,East,Dana White,Completed
ORD-100873,2024/10/25,Thingamajig,-1.0,62.89,East,Fiona Grant,Cancelled
ORD-100940,07-02-2024,Doohickey,2.0,230.02,  SOUTH  ,  Charlie Lee   ,Completed
ORD-100845,2023/06/29,Gadget Y,5.0,$345.81,West,Charlie Lee,Completed
ORD-100058,"Oct 23, 2023",Widget B,2.0,45.71,South,Charlie Lee,Completed
ORD-100742,2024-03-24,Sprocket,2.0,79.59,East,  Charlie Lee   ,Completed
ORD-101597,12/10/2024,Sprocket,-1.0,31.18,West,Alice Khan,Completed
ORD-101734,2023/07/05,Doohickey,3.0,335.3,  East  ,Charlie Lee ,Pending
ORD-101383,"Feb 15, 2023",Gadget X,2.0,169.98,South,Charlie Lee,Completed
ORD-100027,"Aug 15, 2024",Widget B,1.0,30.42,  West  ,Charlie Lee,Completed
ORD-100616,"Nov 05, 2024",Thingamajig,2.0,14.39, East,Bob Smith,Completed
ORD-100508,2023/12/06,,-1.0,96.2,South,alice khan,Completed
ORD-100230,09-04-2024,Gizmo Pro,1.0,347.65,  north  ,Charlie Lee ,
ORD-101017,2023/06/29,  Doohickey  ,2.0,92.02,West,Fiona Grant,Completed
ORD-101317,2024/03/01,Gadget Y,4.0,45.8,West ,,Completed
ORD-101887,06/06/2023,Widget B,5.0,61.82,   East  ,Charlie Lee,Completed
ORD-101651,12/26/2023,Widget B,2.0,$257.61,  East  ,Evan Brooks,Cancelled
ORD-100025,2024-08-27,Sprocket,1.0,186.37,North,alice khan,Completed
ORD-100270,2024-06-29,Widget A,2.0,310.06,  West   ,Dana White,Pending
ORD-101085,"Dec 09, 2024",Doohickey,2.0,N/A, East,Bob Smith,  Completed  
ORD-101898,2023/02/13,Widget A,4.0,6.83,SOUTH,Alice Khan,Completed
